"","id","lat","lon","val"
"453",453,88.5,318,0
"454",454,88.5,319.5,0
"455",455,88.5,321,0
"456",456,88.5,322.5,0
"457",457,88.5,324,0
"458",458,88.5,325.5,0
"459",459,88.5,327,0
"460",460,88.5,328.5,0
"461",461,88.5,330,0
"462",462,88.5,331.5,0
"463",463,88.5,333,0
"464",464,88.5,334.5,0
"465",465,88.5,336,0
"466",466,88.5,337.5,0
"467",467,88.5,339,0
"468",468,88.5,340.5,0
"469",469,88.5,342,0
"470",470,88.5,343.5,0
"471",471,88.5,345,0
"472",472,88.5,346.5,0
"473",473,88.5,348,0
"474",474,88.5,349.5,0
"475",475,88.5,351,0
"476",476,88.5,352.5,0
"477",477,88.5,354,0
"478",478,88.5,355.5,0
"479",479,88.5,357,0
"480",480,88.5,358.5,0
"481",481,87,0,0
"482",482,87,1.5,0
"483",483,87,3,0
"484",484,87,4.5,0
"485",485,87,6,0
"486",486,87,7.5,0
"487",487,87,9,0
"488",488,87,10.5,0
"489",489,87,12,0
"490",490,87,13.5,0
"491",491,87,15,0
"492",492,87,16.5,0
"493",493,87,18,0
"494",494,87,19.5,0
"495",495,87,21,0
"496",496,87,22.5,0
"497",497,87,24,0
"498",498,87,25.5,0
"499",499,87,27,0
"500",500,87,28.5,0
"501",501,87,30,0
"502",502,87,31.5,0
"503",503,87,33,0
"504",504,87,34.5,0
"505",505,87,36,0
"506",506,87,37.5,0
"507",507,87,39,0
"508",508,87,40.5,0
"509",509,87,42,0
"510",510,87,43.5,0
"511",511,87,45,0
"512",512,87,46.5,0
"513",513,87,48,0
"514",514,87,49.5,0
"515",515,87,51,0
"516",516,87,52.5,0
"517",517,87,54,0
"518",518,87,55.5,0
"519",519,87,57,0
"520",520,87,58.5,0
"521",521,87,60,0
"522",522,87,61.5,0
"523",523,87,63,0
"524",524,87,64.5,0
"525",525,87,66,0
"526",526,87,67.5,0
"527",527,87,69,0
"528",528,87,70.5,0
"529",529,87,72,0
"530",530,87,73.5,0
"531",531,87,75,0
